sku,nombre,categoria,subcategoria,marca,calibre_awg,num_conductores,voltaje,apantallado,chaqueta,norma,aplicacion,potencia_hp,voltaje_entrada,serie,descripcion_corta,imagen
107061,12/4C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,12,4,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107062,12/5C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,12,5,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107063,12/7C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,12,7,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107064,12/9C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,12,9,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107065,12/12C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,12,12,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107066,12/15C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,12,15,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107067,12/19C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,12,19,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107068,12/37C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,12,37,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107069,14/2C FREP/CPE N/S Cable para bandeja E2 600V TC Flat,Cables especiales,Cable para bandeja / tray cable,,14,2,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107070,14/3C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107071,14/4C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,4,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107072,14/5C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,5,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107073,14/7C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,7,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107074,14/9C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,9,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107075,14/12C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,12,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107076,14/19C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,19,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107077,14/25C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,25,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
