sku_candidato,nombre_fuente,categoria_fuente_slug,subcategoria_fuente_slug,producto_url,imagen_url_externa,titulo_imagen_fuente,ultima_actualizacion_fuente,estado_contenido,estado_imagen,notas,sku_fuente,nombre_catalogo,categoria_url_fuente,imagen_thumbnail_url
CC-ALAMBRE-AISLADO-N10-BLANCO-X-METRO,Alambre Aislado N10 Blanco X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n10-blanco-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/422/247c7e6be0f0a1fa.webp,Alambre Aislado N10 Blanco X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N10-NEGRO-X-METRO,Alambre Aislado N10 Negro X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n10-negro-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/425/9f0c90f2cfd1ae2f.webp,Alambre Aislado N10 Negro X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N10-ROJO-X-METRO,Alambre Aislado N10 Rojo X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n10-rojo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/426/d4b65a78a230aa5e.webp,Alambre Aislado N10 Rojo X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N10-VERDE-X-METRO,Alambre Aislado N10 Verde X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n10-verde-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/429/ac4b62577fded7da.webp,Alambre Aislado N10 Verde X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N8-AMARILLO-X-METRO,Alambre Aislado N8 Amarillo X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n8-amarillo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/432/c9f9e40ad8e23d88.webp,Alambre Aislado N8 Amarillo X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N8-AZUL-X-METRO,Alambre Aislado N8 Azul X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n8-azul-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/434/336bb36f8bfd9b23.webp,Alambre Aislado N8 Azul X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N8-BLANCO-X-METRO,Alambre Aislado N8 Blanco X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n8-blanco-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/436/c0b6f12eeb5be84e.webp,Alambre Aislado N8 Blanco X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N8-NEGRO-X-METRO,Alambre Aislado N8 Negro X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n8-negro-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/441/b70072516d1e9b64.webp,Alambre Aislado N8 Negro X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N8-ROJO-X-METRO,Alambre Aislado N8 Rojo X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n8-rojo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/443/f7107075dcea9835.webp,Alambre Aislado N8 Rojo X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N8-VERDE-X-METRO,Alambre Aislado N8 Verde X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n8-verde-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/445/19da91f933ccdb4a.webp,Alambre Aislado N8 Verde X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
