sku,nombre,estado_staging,source_key,nota_staging
SRT-PENDING-4667F1459C76,Pendiente de verificación - Cable Aluminio Triplex Desnudo 2x4/0 + 4/0 N.D XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-DESNUDO-2X4-0-4-0-N-D-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-A6EB12EB3ABE,Pendiente de verificación - Cable Aluminio Triplex Desnudo 2x4/0 + 2/0 N.D XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-DESNUDO-2X4-0-2-0-N-D-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-98CDD9236AD2,Pendiente de verificación - Cable Aluminio Triplex Desnudo 2x2/0 + 2/0 N.D XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-DESNUDO-2X2-0-2-0-N-D-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-4316A8FAA999,Pendiente de verificación - Cable Aluminio Triplex Desnudo 2x2/0 + 1/0 N.D XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-DESNUDO-2X2-0-1-0-N-D-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-9EC49C7A28A9,Pendiente de verificación - Cable Aluminio Triplex Desnudo 2x1/0 + 1/0 N.D XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-DESNUDO-2X1-0-1-0-N-D-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-3364423C1A92,Pendiente de verificación - Cable Aluminio Triplex Desnudo 2x1/0 + 2 N.D XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-DESNUDO-2X1-0-2-N-D-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-6CB32956DF6E,Pendiente de verificación - Cable Aluminio Triplex Desnudo 2x2 + 2 N.D XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-DESNUDO-2X2-2-N-D-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-4F6FC158B6F6,Pendiente de verificación - Cable Aluminio Triplex Desnudo 2x2 + 4 N.D XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-DESNUDO-2X2-4-N-D-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-B16203A08F0E,Pendiente de verificación - Cable Aluminio Triplex Desnudo 2x4 + 4 N.D XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-DESNUDO-2X4-4-N-D-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-9F87DBDC8A7A,Pendiente de verificación - Cable Aluminio Triplex Desnudo 2x6 + 6 N.D XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-DESNUDO-2X6-6-N-D-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-97BC9D6F9F20,Pendiente de verificación - Cable Aluminio Triplex Aislado 2x1/0 + 123.3 Kcmil AAAC N.A,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-AISLADO-2X1-0-123-3-KCMIL-AAAC-N-A,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-489F09CF9F93,Pendiente de verificación - Cable Aluminio Triplex Aislado 2x4/0 + 4/0 N.A XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-AISLADO-2X4-0-4-0-N-A-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-A489247D6512,Pendiente de verificación - Cable Aluminio Triplex Aislado 2x4/0 + 2/0 N.A XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-AISLADO-2X4-0-2-0-N-A-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-781A57233F63,Pendiente de verificación - Cable Aluminio Triplex Aislado 2x2/0 + 2/0 N.A XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-AISLADO-2X2-0-2-0-N-A-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-4867D6D22AAF,Pendiente de verificación - Cable Aluminio Triplex Aislado 2x2/0 + 1/0 N.A XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-AISLADO-2X2-0-1-0-N-A-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-B11AA016E2B8,Pendiente de verificación - Cable Aluminio Triplex Aislado 2x1/0 + 1/0 N.A XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-AISLADO-2X1-0-1-0-N-A-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-BEE533777F39,Pendiente de verificación - Cable Aluminio Triplex Aislado 2x1/0 + 2 N.A XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-AISLADO-2X1-0-2-N-A-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-F0C739013C64,Pendiente de verificación - Cable Aluminio Triplex Aislado 2x2 + 1/0 N.A XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-AISLADO-2X2-1-0-N-A-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-FEF1B0043135,Pendiente de verificación - Cable Aluminio Triplex Aislado 2x2 + 2 N.A XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-AISLADO-2X2-2-N-A-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-9D6BDB0B6AF8,Pendiente de verificación - Cable Aluminio Triplex Aislado 2x4 + 2 N.A XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-AISLADO-2X4-2-N-A-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-A5F2945A3C24,Pendiente de verificación - Cable Aluminio Triplex Aislado 2x4 + 4 N.A XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-TRIPLEX-AISLADO-2X4-4-N-A-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-8C051F2F5E7C,Pendiente de verificación - Cable Aluminio Duplex Desnudo 1X2 + 2 N.D XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-DUPLEX-DESNUDO-1X2-2-N-D-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-DDC30E095636,Pendiente de verificación - Cable Aluminio Duplex Desnudo 1X4 + 4 N.D XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-DUPLEX-DESNUDO-1X4-4-N-D-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-9B3D2F96EFA8,Pendiente de verificación - Cable Aluminio Duplex 1x2+ 2 N.A XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-DUPLEX-1X2-2-N-A-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-AD0F27BB25AA,Pendiente de verificación - Cable Aluminio Duplex 1x4+ 4 N.A XLPE,pendiente_investigacion,CC-CABLE-ALUMINIO-DUPLEX-1X4-4-N-A-XLPE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-061EAC97419A,Pendiente de verificación - Cable Bateria N4,pendiente_investigacion,CC-CABLE-BATERIA-N4,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-358405226874,Pendiente de verificación - Cable Bateria N2,pendiente_investigacion,CC-CABLE-BATERIA-N2,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-CTRL-7x12AWG-CU-PVC,Pendiente de verificación - Cable Control 7x12 AWG PC Cu PVC,pendiente_piloto,CC-CABLE-CONTROL-7X12-AWG-PC-CU-PVC,Configuración 7 x 12 AWG sin referencia de fabricante confirmada.
SRT-CTRL-2x14-20AWG-CU-PVC-600V,Pendiente de verificación - Cable Control 2x14+20 awg cu pvc tc ls 90°c 600v,pendiente_piloto,CC-CABLE-CONTROL-2X14-20-AWG-CU-PVC-TC-LS-90-C-600V,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.
SRT-CTRL-4x14-20AWG-CU-PVC-600V,Pendiente de verificación - Cable Control 4x14+20 awg cu pvc tc ls 90°c 600v,pendiente_piloto,CC-CABLE-CONTROL-4X14-20-AWG-CU-PVC-TC-LS-90-C-600V,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.
SRT-CTRL-6x14-20AWG-CU-PVC-600V,Pendiente de verificación - Cable Control 6x14+20 awg cu pvc tc ls 90°c 600v,pendiente_piloto,CC-CABLE-CONTROL-6X14-20-AWG-CU-PVC-TC-LS-90-C-600V,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.
SRT-CTRL-9x14-20AWG-CU-PVC-600V,Pendiente de verificación - Cable Control 9x14+20 awg cu pvc tc ls 90°c 600v,pendiente_piloto,CC-CABLE-CONTROL-9X14-20-AWG-CU-PVC-TC-LS-90-C-600V,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.
SRT-CTRL-2x12-20AWG-CU-PVC-600V,Pendiente de verificación - Cable Control 2x12+20 awg cu pvc tc ls 90°c 600v,pendiente_piloto,CC-CABLE-CONTROL-2X12-20-AWG-CU-PVC-TC-LS-90-C-600V,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.
SRT-CTRL-4x12-20AWG-CU-PVC-600V,Pendiente de verificación - Cable Control 4x12+20 awg cu pvc tc ls 90°c 600v,pendiente_piloto,CC-CABLE-CONTROL-4X12-20-AWG-CU-PVC-TC-LS-90-C-600V,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.
SRT-CTRL-6x12-20AWG-CU-PVC-600V,Pendiente de verificación - Cable Control 6x12+20 awg cu pvc tc ls 90°c 600v,pendiente_piloto,CC-CABLE-CONTROL-6X12-20-AWG-CU-PVC-TC-LS-90-C-600V,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.
SRT-CTRL-9x12-20AWG-CU-PVC-600V,Pendiente de verificación - Cable Control 9x12+20 awg cu pvc tc ls 90°c 600v,pendiente_piloto,CC-CABLE-CONTROL-9X12-20-AWG-CU-PVC-TC-LS-90-C-600V,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.
SRT-CTRL-2x10-20AWG-CU-PVC-600V,Pendiente de verificación - Cable Control 2x10+20 awg cu pvc tc ls 90°c 600v,pendiente_piloto,CC-CABLE-CONTROL-2X10-20-AWG-CU-PVC-TC-LS-90-C-600V,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.
SRT-CTRL-4x10-20AWG-CU-PVC-600V,Pendiente de verificación - Cable Control 4x10+20 awg cu pvc tc ls 90°c 600v,pendiente_piloto,CC-CABLE-CONTROL-4X10-20-AWG-CU-PVC-TC-LS-90-C-600V,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.
SRT-CTRL-9x10-20AWG-CU-PVC-600V,Pendiente de verificación - Cable Control 9x10+20 awg cu pvc tc ls 90°c 600v,pendiente_piloto,CC-CABLE-CONTROL-9X10-20-AWG-CU-PVC-TC-LS-90-C-600V,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.
SRT-PENDING-D5407E35166B,Pendiente de verificación - Cable Acometida 1X8+8 Monofasico Cu,pendiente_investigacion,CC-CABLE-ACOMETIDA-1X8-8-MONOFASICO-CU,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-057D58022FDD,Pendiente de verificación - Cable Acometida 2X8+8 Bifasico Cu,pendiente_investigacion,CC-CABLE-ACOMETIDA-2X8-8-BIFASICO-CU,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-3A016A2ED5CF,Pendiente de verificación - Cable Acometida 3X8+10 Trifásico Trébol Cu,pendiente_investigacion,CC-CABLE-ACOMETIDA-3X8-10-TRIFASICO-TREBOL-CU-2,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-4C5E4B9A7608,Pendiente de verificación - Cable Acometida 3X8+8 Trifásico Cu,pendiente_investigacion,CC-CABLE-ACOMETIDA-3X8-8-TRIFASICO-CU,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-CB11D6CC147A,Pendiente de verificación - Cable Acometida 3X6+8 Trifásico Trébol Cu,pendiente_investigacion,CC-CABLE-ACOMETIDA-3X6-8-TRIFASICO-TREBOL-CU-3,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
