sku,nombre_provisional,estado_staging,marca,referencia_fabricante,enlace_producto_oficial,enlace_ficha_tecnica,enlace_imagen_directa,estado_derechos_imagen,referencia_permiso_imagen,datos_confirmados,observaciones
SRT-PENDING-04ACB9EA61A1,Pendiente de verificación - Cable Libre de Halógeno N14 Negro Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-756CD6407BE0,Pendiente de verificación - Cable Libre de Halógeno N14 Rojo Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-4BC064D08D6A,Pendiente de verificación - Cable Libre de Halógeno N14 Verde Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-7369268D0BC2,Pendiente de verificación - Cable Libre de Halógeno N12 Negro Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-A0245B1C009E,Pendiente de verificación - Cable Libre de Halógeno N12 Amarillo,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-440FF4D96875,Pendiente de verificación - Cable Libre de Halógeno N12 Azul Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-10BAA11455B0,Pendiente de verificación - Cable Libre de Halógeno N12 Blanco Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-243D5EC2CB12,Pendiente de verificación - Cable Libre de Halógeno N12 Rojo Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-754DB4144A5A,Pendiente de verificación - Cable Libre de Halógeno N12 Verde Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-FE40981C6EE2,Pendiente de verificación - Cable Libre de Halógeno N10 Amarillo Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-8A5260740314,Pendiente de verificación - Cable Libre de Halógeno N10 Azul Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-EB924394D412,Pendiente de verificación - Cable Libre de Halógeno N10 Blanco Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-04898B1D8929,Pendiente de verificación - Cable Libre de Halógeno N10 Negro Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-CBCDD04A16CB,Pendiente de verificación - Cable Libre de Halógeno N10 Rojo Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-9D1C28539091,Pendiente de verificación - Cable Libre de Halógeno N10 Verde Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-B30A4A9CBDD7,Pendiente de verificación - Cable Libre de Halógeno N8 Amarillo Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-1B13B1046562,Pendiente de verificación - Cable Libre de Halógeno N8 Azul Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-35553BFE8787,Pendiente de verificación - Cable Libre de Halógeno N8 Blanco Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-D7EDD3DFC08C,Pendiente de verificación - Cable Libre de Halógeno N8 Negro Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-A97EFB583217,Pendiente de verificación - Cable Libre de Halógeno N8 Rojo Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-CEC6A01178EF,Pendiente de verificación - Cable Libre de Halógeno N8 Verde Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-A046D906ADB0,Pendiente de verificación - Cable Libre de Halógeno N6 Amarillo Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
