"sku","nombre_surtilec","image_file","sha256","variantes_que_comparten_hash","estado_verificacion","accion"
"SRT-PENDING-1166A4BE4FAB","Cable THHW-LS 12 AWG Cobre Trenzado, Azul","surtilec-cable-thhw-ls-12-awg-cobre-trenzado-azul-srt-pending-1166a4be4fab.webp","3406c5ea89d890c1ed77920957d6beebab75be52656b19942cdbd80ad1154a82","Cable THHW-LS 14 AWG Cobre Trenzado, Azul | Cable THHW-LS 12 AWG Cobre Trenzado, Azul | Cable THHW-LS 10 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Azul","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-75C2F07B5EC2","Cable THHW-LS 12 AWG Cobre Trenzado, Rojo","surtilec-cable-thhw-ls-12-awg-cobre-trenzado-rojo-srt-pending-75c2f07b5ec2.webp","b232726a6c0b06aafc14a9a9e8debc99fd5ad7d20f6633ac16d11f4e71d6d3a7","Cable THHW-LS 14 AWG Cobre Trenzado, Rojo | Cable THHW-LS 12 AWG Cobre Trenzado, Rojo | Cable THHW-LS 10 AWG Cobre Trenzado, Rojo | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Rojo | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Rojo | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Rojo","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-756929C8D6E7","Cable THHW-LS 12 AWG Cobre Trenzado, Amarillo","surtilec-cable-thhw-ls-12-awg-cobre-trenzado-amarillo-srt-pending-756929c8d6e7.webp","a6525113aebea1beeaf27b84bdb3c01c2f3c0879eeeb95b968d7894b54013a0a","Cable THHW-LS 12 AWG Cobre Trenzado, Amarillo | Cable THHW-LS 10 AWG Cobre Trenzado, Amarillo | Cable THHW-LS 14 AWG Cobre Trenzado, Amarillo | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Amarillo | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Amarillo | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Amarillo","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-86987D275B9F","Cable THHW-LS 12 AWG Cobre Trenzado, Verde","surtilec-cable-thhw-ls-12-awg-cobre-trenzado-verde-srt-pending-86987d275b9f.webp","afe96b15ec5b0daaf459935f3f1dd5db265524332b8774d7586be92831abc0b4","Cable THHW-LS 14 AWG Cobre Trenzado, Verde | Cable THHW-LS 12 AWG Cobre Trenzado, Verde | Cable THHW-LS 10 AWG Cobre Trenzado, Verde | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Verde | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Verde | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Verde","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-21FD6C300A41","Cable THHW-LS 10 AWG Cobre Trenzado, Blanco","surtilec-cable-thhw-ls-10-awg-cobre-trenzado-blanco-srt-pending-21fd6c300a41.webp","594d796a96c79e13b432ca8b95444f54a5b6d2388f325a70eab03ecbbd4514f6","Cable THHW-LS 14 AWG Cobre Trenzado, Blanco | Cable THHW-LS 12 AWG Cobre Trenzado, Blanco | Cable THHW-LS 10 AWG Cobre Trenzado, Blanco | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Blanco | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Blanco | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Blanco","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-F5A166F079E1","Cable THHW-LS 10 AWG Cobre Trenzado, Amarillo","surtilec-cable-thhw-ls-10-awg-cobre-trenzado-amarillo-srt-pending-f5a166f079e1.webp","a6525113aebea1beeaf27b84bdb3c01c2f3c0879eeeb95b968d7894b54013a0a","Cable THHW-LS 12 AWG Cobre Trenzado, Amarillo | Cable THHW-LS 10 AWG Cobre Trenzado, Amarillo | Cable THHW-LS 14 AWG Cobre Trenzado, Amarillo | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Amarillo | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Amarillo | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Amarillo","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-C19135D919A3","Cable THHW-LS 10 AWG Cobre Trenzado, Verde","surtilec-cable-thhw-ls-10-awg-cobre-trenzado-verde-srt-pending-c19135d919a3.webp","afe96b15ec5b0daaf459935f3f1dd5db265524332b8774d7586be92831abc0b4","Cable THHW-LS 14 AWG Cobre Trenzado, Verde | Cable THHW-LS 12 AWG Cobre Trenzado, Verde | Cable THHW-LS 10 AWG Cobre Trenzado, Verde | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Verde | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Verde | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Verde","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-60537BFEA285","Cable THHW-LS 10 AWG Cobre Trenzado, Rojo","surtilec-cable-thhw-ls-10-awg-cobre-trenzado-rojo-srt-pending-60537bfea285.webp","b232726a6c0b06aafc14a9a9e8debc99fd5ad7d20f6633ac16d11f4e71d6d3a7","Cable THHW-LS 14 AWG Cobre Trenzado, Rojo | Cable THHW-LS 12 AWG Cobre Trenzado, Rojo | Cable THHW-LS 10 AWG Cobre Trenzado, Rojo | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Rojo | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Rojo | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Rojo","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-B4C4339BB418","Cable THHW-LS 10 AWG Cobre Trenzado, Negro","surtilec-cable-thhw-ls-10-awg-cobre-trenzado-negro-srt-pending-b4c4339bb418.webp","b8d415ea403bc4f235e85917cf0e05148b8bc50f5e58c741afdf4a6cbe0fff7d","Cable THHW-LS 14 AWG Cobre Trenzado, Negro | Cable THHW-LS 12 AWG Cobre Trenzado, Negro | Cable THHW-LS 10 AWG Cobre Trenzado, Negro | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Negro | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Negro | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Negro","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-BF4F71F6A068","Cable THHW-LS 8 AWG Cobre Trenzado, Verde","surtilec-cable-thhw-ls-8-awg-cobre-trenzado-verde-srt-pending-bf4f71f6a068.webp","4feb98384f4330f60f04751af6529aedb81158090d8e7f930911ca608fb78a1a","Cable THHW-LS 8 AWG Cobre Trenzado, Verde | Cable THHW-LS 6 AWG Cobre Trenzado, Verde | Cable Libre de Halógeno LSZH 8 AWG Cobre Trenzado, Verde | Cable Libre de Halógeno LSZH 6 AWG Cobre Trenzado, Verde","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
