source_key,nombre_fuente_interno,categoria_fuente_slug,subcategoria_fuente_slug,producto_url_interno,sku_surtilec,estado,marca_confirmada,referencia_fabricante,fuente_tecnica_oficial,estado_imagen,motivo
CC-ALAMBRE-AISLADO-N10-AZUL-X-METRO,Alambre Aislado N10 Azul X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro,SRT-PENDING-4C332162507B,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N14-ROJO,Cable Aislado Thhw Cu N14 Rojo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-rojo,SRT-PENDING-C526999CC316,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N14-AZUL,Cable Aislado Thhw Cu N14 Azul,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-azul,SRT-PENDING-0C9C276CC06B,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N14-BLANCO,Cable Aislado Thhw Cu N14 Blanco,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-blanco,SRT-PENDING-6CE65FDFB4CD,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N14-NEGRO,Cable Aislado Thhw Cu N14 Negro,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-negro,SRT-PENDING-D60273BF0E1F,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N14-VERDE,Cable Aislado Thhw Cu N14 Verde,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-verde,SRT-PENDING-04E75D17520F,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N12-AZUL,Cable Aislado Thhw Cu N12 Azul,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-azul,SRT-PENDING-1166A4BE4FAB,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N12-ROJO,Cable Aislado Thhw Cu N12 Rojo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-rojo,SRT-PENDING-75C2F07B5EC2,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N12-NEGRO,Cable Aislado Thhw Cu N12 Negro,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-negro,SRT-PENDING-DFD91AC5C680,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N12-BLANCO,Cable Aislado Thhw Cu N12 Blanco,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-blanco,SRT-PENDING-6C3361585ADF,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
