id,sku,titulo,familia,familia_etiqueta,confianza,regla,marca,categorias
188,31354002601-2,THWN-2 8 AWG Cu (J) PVC/NY 600V G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
189,31354002605-2,THWN-2 8 AWG Cu (J) PVC/NY 600V 105C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
190,31354001801-2,THWN-2 10 AWG Cu (J) PVC/NY 600V G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
191,31354001805,THWN-2 10 AWG Cu (J) PVC/NY 600V 105C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
192,31354001001,THWN-2 12 AWG Cu (J) PVC/NY 600V G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
193,31354001005,THWN-2 12 AWG Cu (J) PVC/NY 600V 105C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
194,31354000201,THWN-2 14 AWG Cu (J) PVC/NY 600V G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
195,31354000205,THWN-2 14 AWG Cu (J) PVC/NY 600V 105C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
196,31354000401,THWN-2 16 AWG Cu (J) PVC/NY 600V G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
197,31353999801,THWN-2 18 AWG Cu (J) PVC/NY 600V G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
198,31354001601-2,TFFN 18 AWG Cu (flexible) PVC/NY 600V G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
